,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
114,Mauritius,MUS,12948726653.811,1262523.0,4249021.0,6.0,50.655277,62.7553402591339,2.6175704,842096.0,589392.0,2030.0,2.0,15.0,23.3,44.182775,252104279.704,10.7737512242898,89.0,81.7,8.0
115,Mexico,MEX,1465854089286.47,127504125.0,511971970.0,9.0,51.181034,60.486216121903,28.175653,90678697.0,60042318.0,1943950.0,2.0,30.0,21.7,20.12735,39101311849.0,7.8962761916855,93.0,78.0,6284.0
116,Moldova,MDA,14508333280.4233,2538894.0,5422021.0,7.0,52.53199,98.360454656963,,,1419562.0,32884.6,2.0,12.0,11.9,18.8971896198157,586040000.0,28.7372976766235,99.0,77.1,29.0
117,Mongolia,MNG,17146471626.3963,3398366.0,37894484.0,7.0,50.371292,77.8796197898217,6.153327,2058963.0,1402844.0,1557506.8,2.0,25.0,1.3,3140.67788364809,2504294749.65086,15.1479560897226,98.0,85.9,1169.0
118,Montenegro,MNE,6229801580.79157,617213.0,2292498.0,5.0,51.2811,77.1719788967627,2.3890734,488204.0,285797.0,13450.0,2.0,15.0,,0.950915533962108,872558550.293815,13.0403036347004,98.0,83.9,31.0
119,Morocco,MAR,130912558829.84,37457971.0,68411810.0,7.0,49.656467,29.0234220510041,1.9311379,30862724.0,12284010.0,446300.0,0.0,32.0,19.1,10.1606602430359,2177845609.37351,6.65704202759067,67.0,85.1,100.0
120,Mozambique,MOZ,18406835954.6695,32969518.0,8003215.0,8.0,50.939342,98.4174196787149,,5144410.0,15191227.0,786380.0,1.0,32.0,24.4,63.8508333333333,2539017295.64802,10.2794018093421,51.0,25.8,746.0
121,Myanmar,MMR,62263466263.7375,54179306.0,34922210.0,7.0,50.216312,59.4001860997781,28.437815,18751542.0,22884069.0,652670.0,0.0,22.0,24.0,,1238500000.0,,93.0,65.7,1147.0
122,Namibia,NAM,12914932655.685,2567012.0,3952970.0,6.0,51.73545,87.6890934510439,12.449852,1020531.0,988727.0,823290.0,2.0,32.0,20.2,16.3558583333333,1056043502.65038,6.08128114112413,76.0,68.1,29.0
123,Nauru,NRU,151647846.128953,12668.0,52922.0,,49.164734,0.0,,,,20.0,,25.0,,1.44166445896522,,,95.0,,0.0
124,Nepal,NPL,40828247303.5337,30547580.0,15499952.0,6.0,52.15259,53.1683351872451,,11064432.0,8937228.0,143350.0,2.0,25.0,14.4,125.199457792609,65455865.1017989,7.6507917679853,60.0,,465.0
125,New Caledonia,NCL,9623318718.31459,269220.0,5115215.0,,50.221684,85.8654253068134,,,121065.0,18280.0,,30.0,,113.474367224106,696307345.5,,,,2.0
126,New Zealand,NZL,248101705541.399,5124100.0,32211814.0,8.0,50.438686,88.0201141189651,,4630934.0,3033434.0,263310.0,3.0,28.0,11.7,1.57718333333333,8340194362.34964,7.17222476016441,99.0,89.5,727.0
127,Nicaragua,NIC,15671583939.9889,6948392.0,5550354.0,7.0,50.724613,59.8653459591679,11.006432,3053667.0,3264024.0,120340.0,1.0,30.0,25.8,35.874421141967,1293800000.0,10.4674244465991,78.0,56.1,94.0
